1599 samples: 800 train, 799 test
it 106: rate=0.000100, e_train=0.612400, e_test=0.557332
it 107: rate=0.000100, e_train=0.611073, e_test=0.556217
it 108: rate=0.000100, e_train=0.609786, e_test=0.555105
it 109: rate=0.000100, e_train=0.608534, e_test=0.554002
it 110: rate=0.000100, e_train=0.607322, e_test=0.552953
it 111: rate=0.000100, e_train=0.606152, e_test=0.551936
it 112: rate=0.000100, e_train=0.605022, e_test=0.550939
it 113: rate=0.000100, e_train=0.603929, e_test=0.549974
it 114: rate=0.000100, e_train=0.602849, e_test=0.548998
it 115: rate=0.000100, e_train=0.601776, e_test=0.548018
it 116: rate=0.000100, e_train=0.600680, e_test=0.547074
it 117: rate=0.000100, e_train=0.599622, e_test=0.546189
it 118: rate=0.000100, e_train=0.598553, e_test=0.545301
it 119: rate=0.000100, e_train=0.597547, e_test=0.544488
it 120: rate=0.000100, e_train=0.596600, e_test=0.543717
it 121: rate=0.000100, e_train=0.595671, e_test=0.542964
it 122: rate=0.000100, e_train=0.594768, e_test=0.542216
it 123: rate=0.000100, e_train=0.593944, e_test=0.541572
it 124: rate=0.000100, e_train=0.593116, e_test=0.540888
it 125: rate=0.000100, e_train=0.592323, e_test=0.540223
it 126: rate=0.000100, e_train=0.591551, e_test=0.539577
it 127: rate=0.000100, e_train=0.590844, e_test=0.538982
it 128: rate=0.000100, e_train=0.590131, e_test=0.538375
it 129: rate=0.000100, e_train=0.589437, e_test=0.537770
it 130: rate=0.000100, e_train=0.588755, e_test=0.537179
it 131: rate=0.000100, e_train=0.588086, e_test=0.536591
it 132: rate=0.000100, e_train=0.587419, e_test=0.535966
it 133: rate=0.000100, e_train=0.586798, e_test=0.535375
it 134: rate=0.000100, e_train=0.586151, e_test=0.534772
it 135: rate=0.000100, e_train=0.585507, e_test=0.534186
it 136: rate=0.000100, e_train=0.584859, e_test=0.533605
it 137: rate=0.000100, e_train=0.584241, e_test=0.533052
it 138: rate=0.000100, e_train=0.583626, e_test=0.532506
it 139: rate=0.000100, e_train=0.583016, e_test=0.531963
it 140: rate=0.000100, e_train=0.582401, e_test=0.531417
it 141: rate=0.000100, e_train=0.581808, e_test=0.530883
it 142: rate=0.000100, e_train=0.581229, e_test=0.530390
it 143: rate=0.000100, e_train=0.580673, e_test=0.529894
it 144: rate=0.000100, e_train=0.580131, e_test=0.529413
it 145: rate=0.000100, e_train=0.579597, e_test=0.528933
it 146: rate=0.000100, e_train=0.579075, e_test=0.528461
it 147: rate=0.000100, e_train=0.578563, e_test=0.528004
it 148: rate=0.000100, e_train=0.578059, e_test=0.527543
it 149: rate=0.000100, e_train=0.577557, e_test=0.527074
it 150: rate=0.000100, e_train=0.577062, e_test=0.526619
it 151: rate=0.000100, e_train=0.576581, e_test=0.526180
it 152: rate=0.000100, e_train=0.576101, e_test=0.525744
it 153: rate=0.000100, e_train=0.575633, e_test=0.525315
it 154: rate=0.000100, e_train=0.575185, e_test=0.524912
it 155: rate=0.000100, e_train=0.574726, e_test=0.524490
it 156: rate=0.000100, e_train=0.574281, e_test=0.524076
it 157: rate=0.000100, e_train=0.573836, e_test=0.523650
it 158: rate=0.000100, e_train=0.573396, e_test=0.523237
it 159: rate=0.000100, e_train=0.572956, e_test=0.522824
it 160: rate=0.000100, e_train=0.572523, e_test=0.522413
it 161: rate=0.000100, e_train=0.572093, e_test=0.522006
it 162: rate=0.000100, e_train=0.571665, e_test=0.521598
it 163: rate=0.000100, e_train=0.571239, e_test=0.521199
it 164: rate=0.000100, e_train=0.570818, e_test=0.520798
it 165: rate=0.000100, e_train=0.570410, e_test=0.520404
it 166: rate=0.000100, e_train=0.570004, e_test=0.520001
it 167: rate=0.000100, e_train=0.569596, e_test=0.519606
it 168: rate=0.000100, e_train=0.569215, e_test=0.519225
it 169: rate=0.000100, e_train=0.568823, e_test=0.518844
it 170: rate=0.000100, e_train=0.568454, e_test=0.518482
it 171: rate=0.000100, e_train=0.568082, e_test=0.518131
it 172: rate=0.000100, e_train=0.567716, e_test=0.517784
it 173: rate=0.000100, e_train=0.567356, e_test=0.517442
it 174: rate=0.000100, e_train=0.567009, e_test=0.517122
it 175: rate=0.000100, e_train=0.566660, e_test=0.516806
it 176: rate=0.000100, e_train=0.566321, e_test=0.516488
it 177: rate=0.000100, e_train=0.565982, e_test=0.516164
it 178: rate=0.000100, e_train=0.565647, e_test=0.515849
it 179: rate=0.000100, e_train=0.565310, e_test=0.515514
it 180: rate=0.000100, e_train=0.564980, e_test=0.515193
it 181: rate=0.000100, e_train=0.564658, e_test=0.514878
it 182: rate=0.000100, e_train=0.564333, e_test=0.514549
it 183: rate=0.000100, e_train=0.564009, e_test=0.514229
it 184: rate=0.000100, e_train=0.563687, e_test=0.513908
it 185: rate=0.000100, e_train=0.563358, e_test=0.513596
it 186: rate=0.000100, e_train=0.563041, e_test=0.513287
it 187: rate=0.000100, e_train=0.562726, e_test=0.512979
it 188: rate=0.000100, e_train=0.562410, e_test=0.512668
it 189: rate=0.000100, e_train=0.562099, e_test=0.512360
it 190: rate=0.000100, e_train=0.561788, e_test=0.512054
it 191: rate=0.000100, e_train=0.561475, e_test=0.511746
it 192: rate=0.000100, e_train=0.561164, e_test=0.511432
it 193: rate=0.000100, e_train=0.560849, e_test=0.511111
it 194: rate=0.000100, e_train=0.560533, e_test=0.510793
it 195: rate=0.000100, e_train=0.560219, e_test=0.510475
it 196: rate=0.000100, e_train=0.559898, e_test=0.510152
it 197: rate=0.000100, e_train=0.559585, e_test=0.509840
it 198: rate=0.000100, e_train=0.559275, e_test=0.509536
it 199: rate=0.000100, e_train=0.558970, e_test=0.509247
it 200: rate=0.000100, e_train=0.558665, e_test=0.508955
it 201: rate=0.000100, e_train=0.558367, e_test=0.508666
it 202: rate=0.000100, e_train=0.558068, e_test=0.508382
it 203: rate=0.000100, e_train=0.557782, e_test=0.508114
it 204: rate=0.000100, e_train=0.557497, e_test=0.507842
it 205: rate=0.000100, e_train=0.557216, e_test=0.507570
it 206: rate=0.000100, e_train=0.556942, e_test=0.507316
it 207: rate=0.000100, e_train=0.556661, e_test=0.507050
it 208: rate=0.000100, e_train=0.556392, e_test=0.506791
it 209: rate=0.000100, e_train=0.556120, e_test=0.506534
it 210: rate=0.000100, e_train=0.555853, e_test=0.506282
it 211: rate=0.000100, e_train=0.555589, e_test=0.506043
it 212: rate=0.000100, e_train=0.555324, e_test=0.505797
it 213: rate=0.000100, e_train=0.555064, e_test=0.505555
it 214: rate=0.000100, e_train=0.554806, e_test=0.505314
it 215: rate=0.000100, e_train=0.554549, e_test=0.505080
it 216: rate=0.000100, e_train=0.554294, e_test=0.504845
it 217: rate=0.000100, e_train=0.554041, e_test=0.504612
it 218: rate=0.000100, e_train=0.553787, e_test=0.504381
it 219: rate=0.000100, e_train=0.553535, e_test=0.504149
it 220: rate=0.000100, e_train=0.553287, e_test=0.503923
it 221: rate=0.000100, e_train=0.553040, e_test=0.503696
it 222: rate=0.000100, e_train=0.552790, e_test=0.503466
it 223: rate=0.000100, e_train=0.552547, e_test=0.503238
it 224: rate=0.000100, e_train=0.552304, e_test=0.503015
it 225: rate=0.000100, e_train=0.552067, e_test=0.502792
it 226: rate=0.000100, e_train=0.551831, e_test=0.502566
it 227: rate=0.000100, e_train=0.551598, e_test=0.502342
it 228: rate=0.000100, e_train=0.551367, e_test=0.502119
it 229: rate=0.000100, e_train=0.551136, e_test=0.501897
it 230: rate=0.000100, e_train=0.550914, e_test=0.501693
it 231: rate=0.000100, e_train=0.550694, e_test=0.501484
it 232: rate=0.000100, e_train=0.550475, e_test=0.501275
it 233: rate=0.000100, e_train=0.550268, e_test=0.501083
it 234: rate=0.000100, e_train=0.550053, e_test=0.500882
it 235: rate=0.000100, e_train=0.549844, e_test=0.500680
it 236: rate=0.000100, e_train=0.549635, e_test=0.500479
it 237: rate=0.000100, e_train=0.549426, e_test=0.500281
it 238: rate=0.000100, e_train=0.549220, e_test=0.500086
it 239: rate=0.000100, e_train=0.549014, e_test=0.499894
it 240: rate=0.000100, e_train=0.548804, e_test=0.499699
it 241: rate=0.000100, e_train=0.548603, e_test=0.499506
it 242: rate=0.000100, e_train=0.548400, e_test=0.499318
it 243: rate=0.000100, e_train=0.548198, e_test=0.499131
it 244: rate=0.000100, e_train=0.548001, e_test=0.498948
it 245: rate=0.000100, e_train=0.547798, e_test=0.498758
it 246: rate=0.000100, e_train=0.547600, e_test=0.498575
it 247: rate=0.000100, e_train=0.547406, e_test=0.498388
it 248: rate=0.000100, e_train=0.547208, e_test=0.498210
it 249: rate=0.000100, e_train=0.547011, e_test=0.498033
it 250: rate=0.000100, e_train=0.546819, e_test=0.497856
it 251: rate=0.000100, e_train=0.546628, e_test=0.497681
it 252: rate=0.000100, e_train=0.546437, e_test=0.497506
it 253: rate=0.000100, e_train=0.546250, e_test=0.497333
it 254: rate=0.000100, e_train=0.546065, e_test=0.497167
it 255: rate=0.000100, e_train=0.545880, e_test=0.496998
it 256: rate=0.000100, e_train=0.545698, e_test=0.496831
it 257: rate=0.000100, e_train=0.545521, e_test=0.496677
it 258: rate=0.000100, e_train=0.545342, e_test=0.496512
it 259: rate=0.000100, e_train=0.545167, e_test=0.496351
it 260: rate=0.000100, e_train=0.544991, e_test=0.496187
it 261: rate=0.000100, e_train=0.544816, e_test=0.496025
it 262: rate=0.000100, e_train=0.544642, e_test=0.495866
it 263: rate=0.000100, e_train=0.544468, e_test=0.495710
it 264: rate=0.000100, e_train=0.544298, e_test=0.495554
it 265: rate=0.000100, e_train=0.544124, e_test=0.495397
it 266: rate=0.000100, e_train=0.543948, e_test=0.495233
it 267: rate=0.000100, e_train=0.543779, e_test=0.495075
it 268: rate=0.000100, e_train=0.543610, e_test=0.494919
it 269: rate=0.000100, e_train=0.543438, e_test=0.494761
it 270: rate=0.000100, e_train=0.543270, e_test=0.494607
it 271: rate=0.000100, e_train=0.543101, e_test=0.494453
it 272: rate=0.000100, e_train=0.542934, e_test=0.494300
it 273: rate=0.000100, e_train=0.542769, e_test=0.494150
it 274: rate=0.000100, e_train=0.542605, e_test=0.493998
it 275: rate=0.000100, e_train=0.542443, e_test=0.493852
it 276: rate=0.000100, e_train=0.542280, e_test=0.493704
it 277: rate=0.000100, e_train=0.542118, e_test=0.493554
it 278: rate=0.000100, e_train=0.541960, e_test=0.493409
it 279: rate=0.000100, e_train=0.541804, e_test=0.493268
it 280: rate=0.000100, e_train=0.541647, e_test=0.493121
it 281: rate=0.000100, e_train=0.541494, e_test=0.492979
it 282: rate=0.000100, e_train=0.541345, e_test=0.492832
it 283: rate=0.000100, e_train=0.541193, e_test=0.492689
it 284: rate=0.000100, e_train=0.541041, e_test=0.492548
it 285: rate=0.000100, e_train=0.540893, e_test=0.492411
