1599 samples: 800 train, 799 test
it 0: rate=0.001000, e_train=32.991664, e_test=32.079260
it 1: rate=0.001000, e_train=32.975173, e_test=32.063176
it 2: rate=0.001000, e_train=32.960131, e_test=32.048554
it 3: rate=0.001000, e_train=32.946545, e_test=32.035421
it 4: rate=0.001000, e_train=32.934496, e_test=32.024112
it 5: rate=0.001000, e_train=32.924756, e_test=32.015678
it 6: rate=0.001000, e_train=32.917434, e_test=32.009161
it 7: rate=0.001000, e_train=32.911544, e_test=32.003724
it 8: rate=0.001000, e_train=32.906552, e_test=31.999001
it 9: rate=0.001000, e_train=32.902118, e_test=31.994709
it 10: rate=0.001000, e_train=32.898032, e_test=31.990698
it 11: rate=0.001000, e_train=32.894165, e_test=31.986869
it 12: rate=0.001000, e_train=32.890445, e_test=31.983161
it 13: rate=0.001000, e_train=32.886815, e_test=31.979516
it 14: rate=0.001000, e_train=32.883225, e_test=31.975492
it 15: rate=0.001000, e_train=18.344053, e_test=7.954152
it 16: rate=0.001000, e_train=6.362245, e_test=5.853763
it 17: rate=0.001000, e_train=4.492352, e_test=4.059607
it 18: rate=0.001000, e_train=2.952016, e_test=2.572078
it 19: rate=0.001000, e_train=1.666005, e_test=1.394076
it 20: rate=0.001000, e_train=0.978441, e_test=1.012640
it 21: rate=0.001000, e_train=0.791785, e_test=0.915489
it 22: rate=0.001000, e_train=0.741771, e_test=0.883004
it 23: rate=0.001000, e_train=0.721485, e_test=0.862568
it 24: rate=0.001000, e_train=0.708229, e_test=0.847605
it 25: rate=0.001000, e_train=0.697433, e_test=0.834694
it 26: rate=0.001000, e_train=0.687898, e_test=0.823577
it 27: rate=0.001000, e_train=0.678919, e_test=0.813088
it 28: rate=0.001000, e_train=0.670521, e_test=0.802995
it 29: rate=0.001000, e_train=0.662604, e_test=0.792728
it 30: rate=0.001000, e_train=0.655108, e_test=0.782883
it 31: rate=0.001000, e_train=0.647530, e_test=0.774782
it 32: rate=0.001000, e_train=0.640264, e_test=0.766465
it 33: rate=0.001000, e_train=0.633384, e_test=0.758589
it 34: rate=0.001000, e_train=0.626951, e_test=0.750989
it 35: rate=0.001000, e_train=0.620911, e_test=0.743405
it 36: rate=0.001000, e_train=0.615349, e_test=0.735956
it 37: rate=0.001000, e_train=0.609728, e_test=0.729386
it 38: rate=0.001000, e_train=0.604500, e_test=0.722804
it 39: rate=0.001000, e_train=0.599546, e_test=0.716417
it 40: rate=0.001000, e_train=0.594729, e_test=0.709914
it 41: rate=0.001000, e_train=0.590028, e_test=0.704057
it 42: rate=0.001000, e_train=0.585658, e_test=0.699795
it 43: rate=0.001000, e_train=0.581472, e_test=0.694583
it 44: rate=0.001000, e_train=0.577526, e_test=0.689408
it 45: rate=0.001000, e_train=0.573806, e_test=0.684472
it 46: rate=0.001000, e_train=0.570123, e_test=0.680137
it 47: rate=0.001000, e_train=0.566567, e_test=0.675474
it 48: rate=0.001000, e_train=0.563230, e_test=0.671171
it 49: rate=0.001000, e_train=0.559897, e_test=0.666879
it 50: rate=0.001000, e_train=0.556838, e_test=0.662777
it 51: rate=0.001000, e_train=0.553992, e_test=0.658965
it 52: rate=0.001000, e_train=0.551050, e_test=0.655120
it 53: rate=0.001000, e_train=0.548521, e_test=0.651734
it 54: rate=0.001000, e_train=0.545960, e_test=0.648323
it 55: rate=0.001000, e_train=0.543521, e_test=0.644474
it 56: rate=0.001000, e_train=0.541257, e_test=0.641314
it 57: rate=0.001000, e_train=0.538911, e_test=0.638149
it 58: rate=0.001000, e_train=0.536839, e_test=0.635230
it 59: rate=0.001000, e_train=0.534902, e_test=0.632346
it 60: rate=0.001000, e_train=0.533046, e_test=0.629535
it 61: rate=0.001000, e_train=0.531360, e_test=0.626939
it 62: rate=0.001000, e_train=0.529554, e_test=0.624421
it 63: rate=0.001000, e_train=0.527869, e_test=0.622018
it 64: rate=0.001000, e_train=0.526266, e_test=0.619706
it 65: rate=0.001000, e_train=0.524836, e_test=0.617415
it 66: rate=0.001000, e_train=0.523381, e_test=0.615222
it 67: rate=0.001000, e_train=0.521953, e_test=0.613117
it 68: rate=0.001000, e_train=0.520611, e_test=0.611061
it 69: rate=0.001000, e_train=0.519253, e_test=0.609101
it 70: rate=0.001000, e_train=0.517968, e_test=0.607180
it 71: rate=0.001000, e_train=0.516926, e_test=0.605350
it 72: rate=0.001000, e_train=0.515793, e_test=0.603558
it 73: rate=0.001000, e_train=0.514669, e_test=0.601811
it 74: rate=0.001000, e_train=0.513566, e_test=0.600164
it 75: rate=0.001000, e_train=0.512516, e_test=0.598546
it 76: rate=0.001000, e_train=0.511488, e_test=0.596987
it 77: rate=0.001000, e_train=0.510554, e_test=0.595464
it 78: rate=0.001000, e_train=0.509563, e_test=0.594107
it 79: rate=0.001000, e_train=0.508659, e_test=0.592684
it 80: rate=0.001000, e_train=0.507759, e_test=0.591360
it 81: rate=0.001000, e_train=0.506879, e_test=0.590026
it 82: rate=0.001000, e_train=0.506067, e_test=0.588718
it 83: rate=0.001000, e_train=0.505236, e_test=0.587460
it 84: rate=0.001000, e_train=0.504436, e_test=0.586244
it 85: rate=0.001000, e_train=0.503646, e_test=0.585057
it 86: rate=0.001000, e_train=0.502891, e_test=0.583926
it 87: rate=0.001000, e_train=0.502159, e_test=0.582827
it 88: rate=0.001000, e_train=0.501328, e_test=0.581729
it 89: rate=0.001000, e_train=0.500663, e_test=0.580660
it 90: rate=0.001000, e_train=0.500003, e_test=0.579615
it 91: rate=0.001000, e_train=0.499356, e_test=0.578605
it 92: rate=0.001000, e_train=0.498733, e_test=0.577610
it 93: rate=0.001000, e_train=0.498124, e_test=0.576662
it 94: rate=0.001000, e_train=0.497516, e_test=0.575734
it 95: rate=0.001000, e_train=0.496934, e_test=0.574833
it 96: rate=0.001000, e_train=0.496372, e_test=0.573952
it 97: rate=0.001000, e_train=0.495821, e_test=0.573095
it 98: rate=0.001000, e_train=0.495283, e_test=0.572262
it 99: rate=0.001000, e_train=0.494757, e_test=0.571449
it 100: rate=0.001000, e_train=0.494246, e_test=0.570659
it 101: rate=0.001000, e_train=0.493747, e_test=0.569886
