1599 samples: 800 train, 799 test
it 0: rate=0.000500, e_train=32.708635, e_test=32.613945
it 1: rate=0.000500, e_train=32.690940, e_test=32.596720
it 2: rate=0.000500, e_train=32.673371, e_test=32.580049
it 3: rate=0.000500, e_train=32.656817, e_test=32.564712
it 4: rate=0.000500, e_train=32.641878, e_test=32.551241
it 5: rate=0.000500, e_train=32.628946, e_test=32.539755
it 6: rate=0.000500, e_train=32.617768, e_test=32.529426
it 7: rate=0.000500, e_train=32.607533, e_test=32.519518
it 8: rate=0.000500, e_train=32.597769, e_test=32.509900
it 9: rate=0.000500, e_train=32.588170, e_test=32.500444
it 10: rate=0.000500, e_train=32.578969, e_test=32.491523
it 11: rate=0.000500, e_train=32.570159, e_test=32.482981
it 12: rate=0.000500, e_train=32.561632, e_test=32.474674
it 13: rate=0.000500, e_train=32.553433, e_test=32.466671
it 14: rate=0.000500, e_train=32.545410, e_test=32.458930
it 15: rate=0.000500, e_train=32.537623, e_test=32.451404
it 16: rate=0.000500, e_train=32.530268, e_test=32.444493
it 17: rate=0.000500, e_train=32.523488, e_test=32.438250
it 18: rate=0.000500, e_train=32.517361, e_test=32.432588
it 19: rate=0.000500, e_train=32.511788, e_test=32.427437
it 20: rate=0.000500, e_train=32.506720, e_test=32.422746
it 21: rate=0.000500, e_train=32.502084, e_test=32.418408
it 22: rate=0.000500, e_train=32.497809, e_test=32.414402
it 23: rate=0.000500, e_train=32.493856, e_test=32.410675
it 24: rate=0.000500, e_train=32.489489, e_test=32.404347
it 25: rate=0.000500, e_train=32.437186, e_test=32.166223
it 26: rate=0.000500, e_train=29.298177, e_test=24.051207
it 27: rate=0.000500, e_train=16.275216, e_test=11.268938
it 28: rate=0.000500, e_train=10.010252, e_test=9.401978
it 29: rate=0.000500, e_train=8.380648, e_test=7.719576
it 30: rate=0.000500, e_train=6.553485, e_test=5.911908
it 31: rate=0.000500, e_train=4.891620, e_test=4.333477
it 32: rate=0.000500, e_train=3.530388, e_test=3.104737
it 33: rate=0.000500, e_train=2.535860, e_test=2.255145
it 34: rate=0.000500, e_train=1.872572, e_test=1.693777
it 35: rate=0.000500, e_train=1.448455, e_test=1.334841
it 36: rate=0.000500, e_train=1.184902, e_test=1.110055
it 37: rate=0.000500, e_train=1.018541, e_test=0.969405
it 38: rate=0.000500, e_train=0.912862, e_test=0.880510
it 39: rate=0.000500, e_train=0.842988, e_test=0.822146
it 40: rate=0.000500, e_train=0.794865, e_test=0.782596
